subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob,datetime
5lox35yzbqd,man,50,17,20to40k,4,100,0,2,L5,1,100,0,2021-12-13 21:20:48.877431
5lox35yzbqd,man,50,17,20to40k,4,100,0,3,L2,3,0,100,2021-12-13 21:20:48.877431
5lox35yzbqd,man,50,17,20to40k,4,100,0,4,G11,2,100,0,2021-12-13 21:20:48.877431
5lox35yzbqd,man,50,17,20to40k,4,100,0,5,L1,1,100,0,2021-12-13 21:20:48.877431
5lox35yzbqd,man,50,17,20to40k,4,100,0,6,G9,3,100,0,2021-12-13 21:20:48.877431
5lox35yzbqd,man,50,17,20to40k,4,100,0,7,L10,1,0,100,2021-12-13 21:20:48.877431
5lox35yzbqd,man,50,17,20to40k,4,100,0,8,G2,3,100,0,2021-12-13 21:20:48.877431
5lox35yzbqd,man,50,17,20to40k,4,100,0,9,G5,0,100,0,2021-12-13 21:20:48.877431
5lox35yzbqd,man,50,17,20to40k,4,100,0,10,G1,2,100,0,2021-12-13 21:20:48.877431
o3tp35yzwkb,woman,25,17,>100k,3,95,5,1,L1,1,50,50,2021-12-13 21:08:27.969035
o3tp35yzwkb,woman,25,17,>100k,3,95,5,2,G11,0,50,50,2021-12-13 21:08:27.969035
o3tp35yzwkb,woman,25,17,>100k,3,95,5,3,L11,2,75,25,2021-12-13 21:08:27.969035
o3tp35yzwkb,woman,25,17,>100k,3,95,5,4,L10,2,20,80,2021-12-13 21:08:27.969035
o3tp35yzwkb,woman,25,17,>100k,3,95,5,5,L5,0,50,50,2021-12-13 21:08:27.969035
o3tp35yzwkb,woman,25,17,>100k,3,95,5,6,L2,0,30,70,2021-12-13 21:08:27.969035
o3tp35yzwkb,woman,25,17,>100k,3,95,5,7,G9,0,50,50,2021-12-13 21:08:27.969035
o3tp35yzwkb,woman,25,17,>100k,3,95,5,8,G1,1,40,60,2021-12-13 21:08:27.969035
o3tp35yzwkb,woman,25,17,>100k,3,95,5,9,G5,0,50,50,2021-12-13 21:08:27.969035
o3tp35yzwkb,woman,25,17,>100k,3,95,5,10,G2,1,15,85,2021-12-13 21:08:27.969035
7ff035yzptp,woman,44,14,60to80k,3,80,20,1,L10,0,10,90,2021-12-13 21:49:09.020429
7ff035yzptp,woman,44,14,60to80k,3,80,20,2,G5,2,50,50,2021-12-13 21:49:09.020429
7ff035yzptp,woman,44,14,60to80k,3,80,20,3,L1,1,30,70,2021-12-13 21:49:09.020429
7ff035yzptp,woman,44,14,60to80k,3,80,20,4,L2,1,25,75,2021-12-13 21:49:09.020429
7ff035yzptp,woman,44,14,60to80k,3,80,20,5,G9,2,50,50,2021-12-13 21:49:09.020429
7ff035yzptp,woman,44,14,60to80k,3,80,20,6,G11,3,50,50,2021-12-13 21:49:09.020429
7ff035yzptp,woman,44,14,60to80k,3,80,20,7,L5,1,45,55,2021-12-13 21:49:09.020429
7ff035yzptp,woman,44,14,60to80k,3,80,20,8,G1,1,20,80,2021-12-13 21:49:09.020429
7ff035yzptp,woman,44,14,60to80k,3,80,20,9,G2,2,35,65,2021-12-13 21:49:09.020429
7ff035yzptp,woman,44,14,60to80k,3,80,20,10,L11,1,20,80,2021-12-13 21:49:09.020429
vloo35yzawg,woman,42,12,<20k,4,90,10,1,G9,3,50,50,2021-12-13 21:10:17.938588
vloo35yzawg,woman,42,12,<20k,4,90,10,2,L5,1,75,25,2021-12-13 21:10:17.938588
vloo35yzawg,woman,42,12,<20k,4,90,10,3,G11,2,50,50,2021-12-13 21:10:17.938588
vloo35yzawg,woman,42,12,<20k,4,90,10,4,G2,4,30,70,2021-12-13 21:10:17.938588
vloo35yzawg,woman,42,12,<20k,4,90,10,5,L1,4,60,40,2021-12-13 21:10:17.938588
vloo35yzawg,woman,42,12,<20k,4,90,10,6,L11,3,70,30,2021-12-13 21:10:17.938588
vloo35yzawg,woman,42,12,<20k,4,90,10,7,L10,2,15,85,2021-12-13 21:10:17.938588
vloo35yzawg,woman,42,12,<20k,4,90,10,8,L2,1,10,90,2021-12-13 21:10:17.938588
vloo35yzawg,woman,42,12,<20k,4,90,10,9,G1,4,40,60,2021-12-13 21:10:17.938588
vloo35yzawg,woman,42,12,<20k,4,90,10,10,G5,1,70,30,2021-12-13 21:10:17.938588
52oe35yzuhi,woman,30,14,80to100k,4,99,1,1,G2,3,70,30,2021-12-13 21:12:52.929461
52oe35yzuhi,woman,30,14,80to100k,4,99,1,2,G1,4,50,50,2021-12-13 21:12:52.929461
52oe35yzuhi,woman,30,14,80to100k,4,99,1,3,G5,1,80,20,2021-12-13 21:12:52.929461
52oe35yzuhi,woman,30,14,80to100k,4,99,1,4,L10,4,50,50,2021-12-13 21:12:52.929461
52oe35yzuhi,woman,30,14,80to100k,4,99,1,5,L11,3,30,70,2021-12-13 21:12:52.929461
52oe35yzuhi,woman,30,14,80to100k,4,99,1,6,G11,4,50,50,2021-12-13 21:12:52.929461
52oe35yzuhi,woman,30,14,80to100k,4,99,1,7,L2,3,25,75,2021-12-13 21:12:52.929461
52oe35yzuhi,woman,30,14,80to100k,4,99,1,8,L5,2,55,45,2021-12-13 21:12:52.929461
52oe35yzuhi,woman,30,14,80to100k,4,99,1,9,L1,4,50,50,2021-12-13 21:12:52.929461
52oe35yzuhi,woman,30,14,80to100k,4,99,1,10,G9,1,60,40,2021-12-13 21:12:52.929461
mqqq35yziuz,woman,52,17,40to60K,3,91,9,1,G1,1,50,50,2021-12-13 22:26:41.075549
mqqq35yziuz,woman,52,17,40to60K,3,91,9,2,G2,2,45,55,2021-12-13 22:26:41.075549
mqqq35yziuz,woman,52,17,40to60K,3,91,9,3,G11,3,50,50,2021-12-13 22:26:41.075549
mqqq35yziuz,woman,52,17,40to60K,3,91,9,4,L11,1,60,40,2021-12-13 22:26:41.075549
mqqq35yziuz,woman,52,17,40to60K,3,91,9,5,G9,3,50,50,2021-12-13 22:26:41.075549
mqqq35yziuz,woman,52,17,40to60K,3,91,9,6,G5,0,50,50,2021-12-13 22:26:41.075549
mqqq35yziuz,woman,52,17,40to60K,3,91,9,7,L2,3,32,68,2021-12-13 22:26:41.075549
mqqq35yziuz,woman,52,17,40to60K,3,91,9,8,L1,3,50,50,2021-12-13 22:26:41.075549
mqqq35yziuz,woman,52,17,40to60K,3,91,9,9,L10,1,27,73,2021-12-13 22:26:41.075549
mqqq35yziuz,woman,52,17,40to60K,3,91,9,10,L5,2,50,50,2021-12-13 22:26:41.075549
