subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob
7ff035yzptp,woman,44,14,60to80k,3,80,20,3,L1,1,30,70
7ff035yzptp,woman,44,14,60to80k,3,80,20,4,L2,1,25,75
7ff035yzptp,woman,44,14,60to80k,3,80,20,5,G9,2,50,50
7ff035yzptp,woman,44,14,60to80k,3,80,20,6,G11,3,50,50
7ff035yzptp,woman,44,14,60to80k,3,80,20,7,L5,1,45,55
7ff035yzptp,woman,44,14,60to80k,3,80,20,8,G1,1,20,80
7ff035yzptp,woman,44,14,60to80k,3,80,20,9,G2,2,35,65
7ff035yzptp,woman,44,14,60to80k,3,80,20,10,L11,1,20,80
vloo35yzawg,woman,42,12,<20k,4,90,10,1,G9,3,50,50
vloo35yzawg,woman,42,12,<20k,4,90,10,2,L5,1,75,25
vloo35yzawg,woman,42,12,<20k,4,90,10,3,G11,2,50,50
vloo35yzawg,woman,42,12,<20k,4,90,10,4,G2,4,30,70
vloo35yzawg,woman,42,12,<20k,4,90,10,5,L1,4,60,40
vloo35yzawg,woman,42,12,<20k,4,90,10,6,L11,3,70,30
vloo35yzawg,woman,42,12,<20k,4,90,10,7,L10,2,15,85
vloo35yzawg,woman,42,12,<20k,4,90,10,8,L2,1,10,90
vloo35yzawg,woman,42,12,<20k,4,90,10,9,G1,4,40,60
vloo35yzawg,woman,42,12,<20k,4,90,10,10,G5,1,70,30
52oe35yzuhi,woman,30,14,80to100k,4,99,1,1,G2,3,70,30
52oe35yzuhi,woman,30,14,80to100k,4,99,1,2,G1,4,50,50
52oe35yzuhi,woman,30,14,80to100k,4,99,1,3,G5,1,80,20
52oe35yzuhi,woman,30,14,80to100k,4,99,1,4,L10,4,50,50
52oe35yzuhi,woman,30,14,80to100k,4,99,1,5,L11,3,30,70
52oe35yzuhi,woman,30,14,80to100k,4,99,1,6,G11,4,50,50
52oe35yzuhi,woman,30,14,80to100k,4,99,1,7,L2,3,25,75
52oe35yzuhi,woman,30,14,80to100k,4,99,1,8,L5,2,55,45
52oe35yzuhi,woman,30,14,80to100k,4,99,1,9,L1,4,50,50
52oe35yzuhi,woman,30,14,80to100k,4,99,1,10,G9,1,60,40
mqqq35yziuz,woman,52,17,40to60K,3,91,9,1,G1,1,50,50
mqqq35yziuz,woman,52,17,40to60K,3,91,9,2,G2,2,45,55
mqqq35yziuz,woman,52,17,40to60K,3,91,9,3,G11,3,50,50
mqqq35yziuz,woman,52,17,40to60K,3,91,9,4,L11,1,60,40
mqqq35yziuz,woman,52,17,40to60K,3,91,9,5,G9,3,50,50
mqqq35yziuz,woman,52,17,40to60K,3,91,9,6,G5,0,50,50
mqqq35yziuz,woman,52,17,40to60K,3,91,9,7,L2,3,32,68
mqqq35yziuz,woman,52,17,40to60K,3,91,9,8,L1,3,50,50
mqqq35yziuz,woman,52,17,40to60K,3,91,9,9,L10,1,27,73
mqqq35yziuz,woman,52,17,40to60K,3,91,9,10,L5,2,50,50
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,1,L5,2,50,50
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,2,G1,1,25,75
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,3,L10,1,40,60
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,4,L2,1,30,70
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,5,G9,0,85,15
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,6,L11,2,65,35
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,7,G11,2,50,50
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,8,G2,2,30,70
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,9,L1,1,35,65
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,10,G5,1,55,45
tik035yzvee,woman,56,20,20to40k,2,53,47,1,G2,3,40,60
tik035yzvee,woman,56,20,20to40k,2,53,47,2,L10,2,35,65
tik035yzvee,woman,56,20,20to40k,2,53,47,3,G11,4,50,50
tik035yzvee,woman,56,20,20to40k,2,53,47,4,L1,1,30,70
tik035yzvee,woman,56,20,20to40k,2,53,47,5,G5,0,45,55
tik035yzvee,woman,56,20,20to40k,2,53,47,6,G9,2,50,50
tik035yzvee,woman,56,20,20to40k,2,53,47,7,L11,2,35,65
tik035yzvee,woman,56,20,20to40k,2,53,47,8,L2,3,46,54
tik035yzvee,woman,56,20,20to40k,2,53,47,9,L5,1,50,50
tik035yzvee,woman,56,20,20to40k,2,53,47,10,G1,1,40,60
u6l035yzk2k,woman,53,13,<20k,4,97,3,1,G5,4,50,50
u6l035yzk2k,woman,53,13,<20k,4,97,3,2,G11,3,50,50
u6l035yzk2k,woman,53,13,<20k,4,97,3,3,L1,2,76,24
u6l035yzk2k,woman,53,13,<20k,4,97,3,4,L10,1,49,51
u6l035yzk2k,woman,53,13,<20k,4,97,3,5,L2,1,51,49
u6l035yzk2k,woman,53,13,<20k,4,97,3,6,G9,3,49,51
u6l035yzk2k,woman,53,13,<20k,4,97,3,7,G1,3,17,83
u6l035yzk2k,woman,53,13,<20k,4,97,3,8,L11,2,72,28
u6l035yzk2k,woman,53,13,<20k,4,97,3,9,G2,3,29,71
u6l035yzk2k,woman,53,13,<20k,4,97,3,10,L5,4,50,50
05gf35yzzzk,man,78,16,na,3,78,22,1,L2,2,50,50
05gf35yzzzk,man,78,16,na,3,78,22,2,G1,2,50,50
05gf35yzzzk,man,78,16,na,3,78,22,3,L10,1,36,64
05gf35yzzzk,man,78,16,na,3,78,22,4,G9,1,50,50
05gf35yzzzk,man,78,16,na,3,78,22,5,G2,2,50,50
05gf35yzzzk,man,78,16,na,3,78,22,6,L5,2,50,50
05gf35yzzzk,man,78,16,na,3,78,22,7,L11,3,20,80
05gf35yzzzk,man,78,16,na,3,78,22,8,G11,3,50,50
05gf35yzzzk,man,78,16,na,3,78,22,9,L1,3,50,50
05gf35yzzzk,man,78,16,na,3,78,22,10,G5,3,50,50
61y535yz5ox,woman,35,16,60to80k,4,95,5,1,L2,2,49,51
61y535yz5ox,woman,35,16,60to80k,4,95,5,2,L5,0,50,50
61y535yz5ox,woman,35,16,60to80k,4,95,5,3,G1,0,50,50
61y535yz5ox,woman,35,16,60to80k,4,95,5,4,L10,0,50,50
61y535yz5ox,woman,35,16,60to80k,4,95,5,5,G11,4,50,50
61y535yz5ox,woman,35,16,60to80k,4,95,5,6,G2,2,49,51
61y535yz5ox,woman,35,16,60to80k,4,95,5,7,L1,1,50,50
61y535yz5ox,woman,35,16,60to80k,4,95,5,8,L11,2,45,55
61y535yz5ox,woman,35,16,60to80k,4,95,5,9,G9,1,50,50
61y535yz5ox,woman,35,16,60to80k,4,95,5,10,G5,1,50,50
l1am35yzw2f,man,29,16,60to80k,4,100,0,1,G9,3,54,46
l1am35yzw2f,man,29,16,60to80k,4,100,0,2,G5,2,38,62
l1am35yzw2f,man,29,16,60to80k,4,100,0,3,L10,3,49,51
l1am35yzw2f,man,29,16,60to80k,4,100,0,4,L2,3,25,75
l1am35yzw2f,man,29,16,60to80k,4,100,0,5,L1,4,50,50
l1am35yzw2f,man,29,16,60to80k,4,100,0,6,L11,2,41,59
l1am35yzw2f,man,29,16,60to80k,4,100,0,7,G11,3,26,74
l1am35yzw2f,man,29,16,60to80k,4,100,0,8,G2,3,57,43
l1am35yzw2f,man,29,16,60to80k,4,100,0,9,G1,4,50,50
l1am35yzw2f,man,29,16,60to80k,4,100,0,10,L5,3,28,72
rac235yzkyo,man,25,14,<20k,3,80,20,1,L5,0,50,50
rac235yzkyo,man,25,14,<20k,3,80,20,2,G9,0,50,50
rac235yzkyo,man,25,14,<20k,3,80,20,3,G11,0,50,50
rac235yzkyo,man,25,14,<20k,3,80,20,4,G1,1,5,95
rac235yzkyo,man,25,14,<20k,3,80,20,5,G5,0,50,50
rac235yzkyo,man,25,14,<20k,3,80,20,6,G2,0,50,50
rac235yzkyo,man,25,14,<20k,3,80,20,7,L10,0,50,50
rac235yzkyo,man,25,14,<20k,3,80,20,8,L11,2,75,25
rac235yzkyo,man,25,14,<20k,3,80,20,9,L1,1,80,20
rac235yzkyo,man,25,14,<20k,3,80,20,10,L2,0,50,50
pcxh35yzq6x,man,57,16,80to100k,4,90,10,1,G2,2,50,50
pcxh35yzq6x,man,57,16,80to100k,4,90,10,2,L1,0,50,50
pcxh35yzq6x,man,57,16,80to100k,4,90,10,3,G5,0,50,50
pcxh35yzq6x,man,57,16,80to100k,4,90,10,4,L11,2,30,70
pcxh35yzq6x,man,57,16,80to100k,4,90,10,5,L10,1,40,60
