"","subject","condition","vignetteType","vignetteNumber","Start100","dummyConfidence","dummyXprob","dummyYprob","vignetteConfidence","vignetteXprob","vignetteYprob","gender","age","postQuestion1","postQuestion2"
"1","86jn35yz0mc","G1y","G",1,"y","3","33","67","2","79","21","female","34","correct","werg"
"2","hm5k35yzwar","L8y","L",8,"y","3","58","42","3","54","46","other","34","correct",""
"3","01fk35yz9qt","G6x","G",6,"x","2","40","60","3","49","51","female","45","incorrect",""
