content,date,exp
"{""subject"":""01fk35yz9qt"",""condition"":""G6x"",""vignetteType"":""G"",""vignetteNumber"":6,""Start100"":""x"",""dummyConfidence"":""2"",""dummyXprob"":""40"",""dummyYprob"":""60"",""vignetteConfidence"":""3"",""vignetteXprob"":""49"",""vignetteYprob"":""51"",""gender"":""female"",""age"":""45"",""postQuestion1"":""incorrect"",""postQuestion2"":""""}",2019-06-11 21:44:59.893988,
"{""subject"":""hm5k35yzwar"",""condition"":""L8y"",""vignetteType"":""L"",""vignetteNumber"":8,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""58"",""dummyYprob"":""42"",""vignetteConfidence"":""3"",""vignetteXprob"":""54"",""vignetteYprob"":""46"",""gender"":""other"",""age"":""34"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-06-11 21:44:28.630475,
"{""subject"":""86jn35yz0mc"",""condition"":""G1y"",""vignetteType"":""G"",""vignetteNumber"":1,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""33"",""dummyYprob"":""67"",""vignetteConfidence"":""2"",""vignetteXprob"":""79"",""vignetteYprob"":""21"",""gender"":""female"",""age"":""34"",""postQuestion1"":""correct"",""postQuestion2"":""werg""}",2019-06-11 21:43:09.790997,
